Title,Category,SubCategory,Frequency,ParentExists,Child,Discontinued
"CPI - Electric iron, heater, toaster, oven & other electric heating appliances (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Electricity (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Excluding Food and Fuel (2012 series),Inflation,CPI,Monthly,N,N,N
CPI - Excluding Food items (2012 series),Inflation,CPI,Monthly,N,N,N
"CPI - Excluding Food, Fuel, Retail Fuel, Precious Metals (2012 series)",Inflation,CPI,Monthly,N,N,N
CPI - Family planning devices (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Firewood and chips (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Fish, prawn (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Flower (fresh): all purposes (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Food and Beverages (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Food and Beverages (Rural, 2012 series)",Inflation,CPI,Monthly,Y,Y,N
"CPI - Food and Beverages (Urban, 2012 series)",Inflation,CPI,Monthly,Y,Y,N
CPI - Footwear (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Footwear (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Footwear (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Foreign/refined liquor or wine (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Frocks, skirts, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Fruit juice and shake (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Fruits (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Fruits (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Fruits (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Fuel and Light (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Fuel and Light (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Fuel and Light (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Gamchha, towel, handkerchief (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Garlic (gm) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Ghee (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Ginger (gm) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Glassware (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Goat meat/mutton (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Gold (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Goods for recreation and hobbies (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Gourd, pumpkin (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Gram products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Gram: split (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Gram: whole (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Grapes (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Green chillies (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Green coconut (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Grinding charges (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Groundnut (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Groundnut oil (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Guava (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Gur (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Hair oil, shampoo, hair cream (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Headwear, belts, ties (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Health (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Health (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Health (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Honey (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Hookah tobacco (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Horse cart fare (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Hospital & nursing home charges (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Hotel lodging charges (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - House rent, garage rent (actual) (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Household Goods and Services (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Household Goods and Services (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Household Goods and Services (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Housing (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Housing (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Ice-cream (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Incense (agarbatti), room freshener (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Ingredients for pan (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Internet expenses (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Inverter (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Jackfruit (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Jeera (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Jowar & its products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Kerosene - other sources (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Kerosene - PDS (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Kharbooza (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Khesari (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Knitting wool (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Kurta-pajama suits: females (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Kurta-pajama suits: males (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Ladys finger (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Leaf tobacco (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Leather boots, shoes (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Leather sandals, chappals, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Leechi (2012 series),Inflation,CPI,Monthly,Y,N,N
